period,n,tokens,start_ratio_return_pearson,end_ratio_return_pearson,all_available_n,circulation_growth_return_pearson
2020,2,"BTC,ADA",,,4,0.057704788626185964
2021,3,"BTC,ADA,AVAX",-0.9965893360812095,-0.9934467708062447,8,0.9588445392839612
2022,3,"BTC,ADA,AVAX",0.9051261788273647,0.9187255710802169,8,-0.6409292190844484
2023,3,"BTC,ADA,AVAX",-0.589891605588718,-0.5558892614851275,9,-0.05179898865275938
2024,4,"BTC,ADA,AVAX,SUI",-0.7717660198575613,-0.7253150045950841,10,0.8010084846666314
2025,4,"BTC,ADA,AVAX,SUI",0.7463536935849437,0.7628190155640467,10,-0.5639071030653343
2026 partial,4,"BTC,ADA,AVAX,SUI",0.8341895524734401,0.8294720649506667,10,-0.5068786859452658
