period,token,start,end,start_ratio,end_ratio,price_return,circulation_growth
2020,BTC,2020-01-05,2021-01-03,0.8639910476190477,0.8852255714285714,3.4232385445761624,0.02457724980836451
2020,ETH,2020-01-05,2021-01-03,,,6.158282551589123,0.04532585044786086
2020,ADA,2020-01-05,2021-01-03,0.5761571230666667,0.6913885476888889,4.904002774080092,0.20000000001542784
2020,ATOM,2020-01-05,2021-01-03,,,0.37383425819435456,0.09208280004122571
2021,BTC,2021-01-03,2022-01-02,0.8852255714285714,0.9008687142857142,0.44424334176276026,0.017671363505572968
2021,ETH,2021-01-03,2022-01-02,,,2.9257149388852777,0.042891371047042215
2021,ADA,2021-01-03,2022-01-02,0.6913885476888889,0.7441220235947333,5.720071859187447,0.07627183886993372
2021,ATOM,2021-01-03,2022-01-02,,,5.123852545007769,0.08633216462211624
2021,SOL,2021-01-03,2022-01-02,,,80.59254523525532,5.641291328075468
2021,DOT,2021-01-03,2022-01-02,,,1.9632541115766369,0.10155627966635716
2021,AVAX,2021-01-03,2022-01-02,0.10685702121731878,0.3385299056375839,31.590890554369274,2.1680642205915883
2021,NEAR,2021-01-03,2022-01-02,,,8.784984602243867,2.0561447249429956
2022,BTC,2022-01-02,2023-01-01,0.9008687142857142,0.9166467142857143,-0.6488540901789891,0.017514205732530153
2022,ETH,2022-01-02,2023-01-01,,,-0.6863965443589279,0.02836235497855144
2022,ADA,2022-01-02,2023-01-01,0.7441220235947333,0.7670796186875778,-0.8186893274095789,0.03085192262142722
2022,ATOM,2022-01-02,2023-01-01,,,-0.7341699155958405,0.2658591939118671
2022,SOL,2022-01-02,2023-01-01,,,-0.9434062143159947,0.18920278143348068
2022,DOT,2022-01-02,2023-01-01,,,-0.8529887375744495,0.1665804945478968
2022,AVAX,2022-01-02,2023-01-01,0.3385299056375839,0.43275297602947826,-0.9039997623529396,0.27833012334445195
2022,NEAR,2022-01-02,2023-01-01,,,-0.9114661639003068,0.4026908972276064
2023,BTC,2023-01-01,2024-01-07,0.9166467142857143,0.9329726190476191,1.6431810116609231,0.017810465588835367
2023,ETH,2023-01-01,2024-01-07,,,0.8509000680595178,-0.017886446144369295
2023,ADA,2023-01-01,2024-01-07,0.7670796186875778,0.7861358964136889,0.9785096004093357,0.02484263336146908
2023,ATOM,2023-01-01,2024-01-07,,,-0.00590529686495922,0.3337082406978822
2023,SOL,2023-01-01,2024-01-07,,,7.943578668111845,0.1740001446497048
2023,DOT,2023-01-01,2024-01-07,,,0.5776991263096352,0.09809888215214357
2023,AVAX,2023-01-01,2024-01-07,0.43275297602947826,0.5091402862578835,2.094967489319082,0.17651481205111796
2023,NEAR,2023-01-01,2024-01-07,,,1.514807138785304,0.19018916917725548
2023,APT,2023-01-01,2024-01-07,,,1.4016003035121258,1.3747456249591883
2024,BTC,2024-01-07,2025-01-05,0.9329726190476191,0.9431557619047619,1.2373243044603761,0.010914728523906625
2024,ETH,2024-01-07,2025-01-05,,,0.6348731076613257,0.0024050209628687647
2024,ADA,2024-01-07,2025-01-05,0.7861358964136889,0.7811367513909034,1.212718232803768,-0.0063591359275047
2024,ATOM,2024-01-07,2025-01-05,,,-0.2194619343486065,0.023563675884937574
2024,SOL,2024-01-07,2025-01-05,,,1.390259417760451,0.11857123410278403
2024,DOT,2024-01-07,2025-01-05,,,0.1135877190411616,0.21407488321765156
2024,AVAX,2024-01-07,2025-01-05,0.5091402862578835,0.569729716700266,0.28098952257733734,0.11900341041112061
2024,NEAR,2024-01-07,2025-01-05,,,0.840143361970165,0.16312134298348657
2024,APT,2024-01-07,2025-01-05,,,0.19127451909143356,0.8093612375901378
2024,SUI,2024-01-07,2025-01-05,0.11009472145534613,0.3009569341533888,5.5485767043710155,1.733618198720412
2025,BTC,2025-01-05,2026-01-04,0.9431557619047619,0.9510321428571429,-0.0701975260035207,0.008351092439359276
2025,ETH,2025-01-05,2026-01-04,,,-0.13576753162803956,0.0018325201402122904
2025,ADA,2025-01-05,2026-01-04,0.7811367513909034,0.7989161550014426,-0.634107338862183,0.022760936006251065
2025,ATOM,2025-01-05,2026-01-04,,,-0.6816925920955917,0.24352498457771166
2025,SOL,2025-01-05,2026-01-04,,,-0.37252289980735753,0.1662086457784997
2025,DOT,2025-01-05,2026-01-04,,,-0.7213416093687974,0.07556804830656261
2025,AVAX,2025-01-05,2026-01-04,0.569729716700266,0.5975136986258054,-0.6697395190834468,0.048766952312857104
2025,NEAR,2025-01-05,2026-01-04,,,-0.7077443042979583,0.0990386184185863
2025,APT,2025-01-05,2026-01-04,,,-0.8078204520574395,0.344454581660979
2025,SUI,2025-01-05,2026-01-04,0.3009569341533888,0.37921830747738877,-0.677388665435732,0.26004176824885006
2026 partial,BTC,2026-01-04,2026-09-06,0.9510321428571429,0.9562271904761904,-0.12102643817673486,0.0054625363170590635
2026 partial,ETH,2026-01-04,2026-09-06,,,-0.19936938842013885,0.01103552376701189
2026 partial,ADA,2026-01-04,2026-09-06,0.7989161550014426,0.8164158536172184,-0.4423265509759555,0.021904299351343193
2026 partial,ATOM,2026-01-04,2026-09-06,,,-0.31733803037950636,0.08800116893631826
2026 partial,SOL,2026-01-04,2026-09-06,,,-0.20501915809644056,0.040482426342070665
2026 partial,DOT,2026-01-04,2026-09-06,,,-0.5436163654441202,0.030010040999842724
2026 partial,AVAX,2026-01-04,2026-09-06,0.5975136986258054,0.5996832794127943,-0.44417870263785497,0.003631014304740887
2026 partial,NEAR,2026-01-04,2026-09-06,,,0.410371615495023,0.016633163147120822
2026 partial,APT,2026-01-04,2026-09-06,,,-0.6779970818007737,0.1432525011756911
2026 partial,SUI,2026-01-04,2026-09-06,0.37921830747738877,0.40965371465409595,-0.5210877963864116,0.08025827492129167
